City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,nar'yan-mar,67.6713,53.087,-1.3,95,98,10.56,RU,1735330487
128,daru,-9.0763,143.2092,25.66,86,100,0.89,PG,1735330488
129,dudinka,69.4058,86.1778,-10.84,91,100,9.39,RU,1735330490
130,bel ombre,-4.6167,55.4167,26.91,74,40,5.66,SC,1735330491
131,loralai,30.3705,68.598,5.17,25,0,4.34,PK,1735330492
132,brokopondo,4.75,-55.1667,27.67,72,65,3.88,SR,1735330493
133,chinhoyi,-17.3667,30.2,23.24,56,84,0.72,ZW,1735330494
134,kenora,49.8167,-94.4337,1.54,100,100,3.6,CA,1735330495
135,tateyama,34.9833,139.8667,9.02,60,8,12.28,JP,1735330497
136,berezovyy,51.6667,135.7,-27.25,92,38,2.07,RU,1735330498
137,ha'il,27.5219,41.6907,16.01,33,0,4.12,SA,1735330499
138,andergrove,-21.0833,149.1833,25.46,78,7,4.15,AU,1735330500
139,labytnangi,66.6572,66.4183,-6.79,88,100,3.18,RU,1735330501
140,sao joao da barra,-21.6403,-41.0511,25.05,92,98,5.11,BR,1735330502
141,el dorado,38.7666,-120.5177,10.47,98,100,2.15,US,1735330503
142,bubaque,11.2833,-15.8333,26.16,70,75,6.17,GW,1735330505
143,rizhao,35.4275,119.4553,-3.72,41,0,3.26,CN,1735330506
144,saint-francois,46.4154,3.9054,-0.2,100,100,1.54,FR,1735330507
145,san felipe,10.3399,-68.7425,27.71,60,100,3.16,VE,1735330508
146,hotan,37.0997,79.9269,-6.56,61,91,1.41,CN,1735330510
147,lata,40.1629,-8.3327,8.6,83,0,1.05,PT,1735330511
148,noosa heads,-26.3833,153.15,23.03,80,13,5.13,AU,1735330512
149,chita,52.0333,113.55,-22.06,84,100,1.0,RU,1735330513
150,fortaleza,-3.7227,-38.5247,29.07,70,0,6.69,BR,1735330316
151,tracy,37.7397,-121.4252,16.3,89,100,3.13,US,1735330515
152,larmor-plage,47.7065,-3.3834,4.52,93,100,1.03,FR,1735330517
153,mersa matruh,31.3525,27.2453,13.83,65,0,5.48,EG,1735330519
154,rikaze,29.25,88.8833,-3.67,17,0,0.43,CN,1735330520
155,prado,-17.3411,-39.2208,26.31,82,61,6.25,BR,1735330521
156,udachny,66.4167,112.4,-33.7,100,100,1.0,RU,1735330522
157,soreang,-7.0331,107.5183,23.14,85,100,1.33,ID,1735330524
158,gamba,-2.65,10.0,25.63,88,55,2.15,GA,1735330525
159,genhe,50.7833,121.5167,-29.75,100,80,0.41,CN,1735330239
160,sarupathar,26.1984,93.8094,13.22,71,0,0.9,IN,1735330527
161,polyarnyy,69.1989,33.4478,-2.4,76,2,14.23,RU,1735330528
162,lompoc,34.6391,-120.4579,17.05,94,100,6.17,US,1735330530
163,sainte-marie-aux-mines,48.2468,7.1853,-3.27,93,100,0.0,FR,1735330531
164,las animas,-39.8087,-73.2182,24.08,36,100,1.81,CL,1735330532
165,iquique,-20.2208,-70.1431,20.66,77,76,2.95,CL,1735330009
166,beledweyne,4.7358,45.2036,25.57,52,88,6.72,SO,1735330534
167,kourou,5.1552,-52.6478,26.42,81,89,3.37,GF,1735330535
168,aldinga beach,-35.2793,138.4604,18.69,70,83,7.26,AU,1735330536
169,konarka,19.9,86.1167,20.65,55,0,2.55,IN,1735330538
170,aykol,38.1751,77.2132,-6.41,65,20,1.64,CN,1735330539
171,talnakh,69.4865,88.3972,-14.19,95,100,6.24,RU,1735330540
172,vilyuchinsk,52.9306,158.4028,-2.85,79,100,3.79,RU,1735330334
173,tomatlan,19.9333,-105.25,30.23,25,0,3.65,MX,1735330542
174,port mathurin,-19.6833,63.4167,25.65,82,59,5.97,MU,1735330543
175,kikwit,-5.041,18.8162,23.88,80,91,1.19,CD,1735330545
176,san antonio de pale,-1.4014,5.6325,26.55,84,100,2.78,GQ,1735330546
177,thompson,55.7435,-97.8558,-1.91,100,100,1.54,CA,1735330547
178,constantia,44.1833,28.65,0.39,75,99,8.38,RO,1735330402
179,port moresby,-9.4431,147.1797,24.68,94,20,1.03,PG,1735330549
180,klaksvik,62.2266,-6.589,7.31,80,40,15.11,FO,1735330551
181,cabedelo,-6.9811,-34.8339,29.37,77,27,7.0,BR,1735330552
182,kailua-kona,19.6406,-155.9956,26.97,63,0,2.24,US,1735330553
183,conduaga,8.862,117.4893,25.23,90,100,0.77,PH,1735330555
184,fasa,28.9383,53.6482,2.58,44,0,2.06,IR,1735330557
185,leer,53.2316,7.461,3.3,97,13,0.06,DE,1735330558
186,punta arenas,-53.15,-70.9167,14.06,51,75,13.38,CL,1735330444
187,basoko,1.2391,23.616,25.06,69,100,1.15,CD,1735330560
188,la passe,45.5549,-0.8967,7.3,84,0,2.45,FR,1735330562
189,podgornoye,51.735,39.1496,-1.88,100,100,1.0,RU,1735330563
190,balqash,46.8481,74.995,-11.53,95,9,2.1,KZ,1735330564
191,uturoa,-16.7333,-151.4333,27.62,72,97,3.93,PF,1735330565
192,lakatoro,-16.0999,167.4164,25.77,74,92,4.18,VU,1735330566
193,susuman,62.7833,148.1667,-41.96,99,84,0.45,RU,1735330567
194,tamiahua,21.2667,-97.45,25.47,74,96,3.35,MX,1735330569
195,fale old settlement,-9.3852,-171.2468,28.26,74,96,4.39,TK,1735330570
196,yuci,37.6803,112.7319,-10.14,48,0,1.0,CN,1735330571
197,praia da vitoria,38.7333,-27.0667,17.14,94,40,2.94,PT,1735330572
198,bikenibeu village,1.3673,173.1241,27.98,78,40,5.14,KI,1735330573
199,zaragoza,41.6561,-0.8773,9.45,73,0,0.51,ES,1735330325
200,namibe,-15.1961,12.1522,22.58,81,90,1.77,AO,1735330576
201,utrik,11.2278,169.8474,27.15,76,70,8.71,MH,1735330577
202,kerikeri,-35.2268,173.9474,21.62,69,2,4.02,NZ,1735330578
203,urucara,-2.5364,-57.76,32.98,50,61,0.84,BR,1735330579
204,sitka,57.0531,-135.33,7.94,66,75,4.63,US,1735330580
205,college,64.8569,-147.8028,-16.03,80,75,0.0,US,1735330581
206,kokpekty,48.75,82.4,-12.82,84,100,2.87,KZ,1735330582
207,lihue,21.9789,-159.3672,25.77,61,0,1.54,US,1735330584
208,karratha,-20.7377,116.8463,30.37,65,4,3.27,AU,1735330585
209,arno,60.1167,18.6333,1.72,97,100,2.45,SE,1735330586
210,hanceville,34.0607,-86.7675,12.95,80,96,6.83,US,1735330581
211,northam,51.0333,-4.2167,6.0,97,16,0.45,GB,1735330588
212,edmundston,47.3737,-68.3251,-4.37,65,0,1.54,CA,1735330361
213,mumford,5.2618,-0.759,27.27,87,5,3.24,GH,1735330591
214,touros,-5.1989,-35.4608,27.43,76,49,6.92,BR,1735330592
215,enewetak,11.3474,162.3373,27.45,75,100,7.56,MH,1735330593
216,paita,-5.0892,-81.1144,23.27,69,100,6.21,PE,1735330594
217,rayevskiy,54.0658,54.9468,-2.68,95,100,1.75,RU,1735330595
218,uliastay,47.7417,96.8444,-17.59,60,100,3.17,MN,1735330596
219,coahuayana de hidalgo,18.7,-103.6583,29.36,28,0,2.99,MX,1735330598
220,alo,6.5486,4.2686,25.95,89,49,3.16,NG,1735330599
221,severo-yeniseyskiy,60.3725,93.0408,-12.66,89,100,3.15,RU,1735330600
222,sainte-agathe-des-monts,46.0501,-74.2825,-2.55,75,88,0.24,CA,1735330601
223,seeb,23.6703,58.1891,19.05,59,0,1.54,OM,1735330602
224,phu kradueng,16.8843,101.8847,21.51,76,83,0.97,TH,1735330603
225,nantucket,41.2835,-70.0995,4.06,65,0,3.6,US,1735330442
226,revda,56.801,59.9303,-3.25,90,99,6.76,RU,1735330607
227,vorkuta,67.5,64.0,-5.79,96,100,5.27,RU,1735330608
228,ancud,-41.8697,-73.8203,16.72,58,100,2.58,CL,1735330609
229,as sulayyil,20.4607,45.5779,17.75,37,84,4.61,SA,1735330610
230,kidal,18.4411,1.4078,22.73,13,39,4.23,ML,1735330612
231,arraial do cabo,-22.9661,-42.0278,27.92,78,75,4.12,BR,1735330388
232,ordynskoye,54.3656,81.8994,-9.05,93,100,6.95,RU,1735330614
233,pecos,31.4229,-103.4932,22.05,16,0,6.17,US,1735330500
234,black point,-34.6187,137.8972,17.44,69,51,6.62,AU,1735330616
235,songea,-10.6833,35.65,20.4,69,100,1.74,TZ,1735330619
236,tazacorte,28.629,-17.9293,18.54,82,40,3.09,ES,1735330620
237,thivai,38.325,23.3189,8.48,82,100,4.27,GR,1735330621
238,mhamid,29.82,-5.72,14.7,37,4,3.54,MA,1735330622
239,hamilton,39.1834,-84.5333,11.69,91,100,7.2,US,1735330457
240,rongelap,11.1635,166.8941,27.47,76,100,9.39,MH,1735330624
241,bawku,11.0616,-0.2417,26.19,12,98,3.64,GH,1735330626
242,kalmunai,7.4167,81.8167,25.0,88,100,2.96,LK,1735330627
243,smithers,54.7804,-127.1743,-4.82,100,40,2.57,CA,1735330628
244,glace bay,46.1969,-59.957,1.25,87,75,5.14,CA,1735330629
245,suozhen,36.9539,118.1047,-5.39,39,0,3.63,CN,1735330630
246,afaahiti,-17.75,-149.2833,26.25,77,96,6.97,PF,1735330631
247,atbasar,51.8,68.3333,-6.41,94,100,8.02,KZ,1735330633
248,suntar,62.1444,117.6319,-34.81,100,99,0.07,RU,1735330634
249,codrington,-38.2667,141.9667,11.18,87,92,5.53,AU,1735330635
250,holualoa,19.6228,-155.9522,24.9,63,0,1.64,US,1735330637
251,san ignacio,17.1561,-89.0714,31.08,66,40,2.06,BZ,1735330638
252,papao,-17.75,-149.55,28.82,69,100,6.63,PF,1735330578
253,ploermel,47.9317,-2.3978,3.2,70,15,1.77,FR,1735330641
254,al jawf,29.5,38.75,9.97,28,0,3.27,SA,1735330642
255,la ronge,55.1001,-105.2842,-5.86,86,100,4.12,CA,1735330643
256,tamanrasset,22.785,5.5228,12.95,22,0,2.57,DZ,1735330645
257,pervomayskiy,53.2485,40.2871,-0.62,99,100,0.87,RU,1735330647
258,akrehamn,59.2667,5.1833,7.14,93,100,4.12,NO,1735330648
259,eraan,9.0629,117.7016,25.28,91,100,1.44,PH,1735330649
260,genet,9.0667,38.5,10.81,55,9,1.29,ET,1735330650
261,calendario,41.4036,-8.5297,9.68,80,0,1.02,PT,1735330651
262,kargasok,59.0556,80.8572,-9.07,92,100,4.66,RU,1735330652
263,zaozersk,69.4005,32.4476,-3.93,80,0,13.67,RU,1735330653
264,hastings,50.8552,0.5729,4.88,65,0,1.97,GB,1735330655
265,wuchang,44.9143,127.15,-18.01,94,77,3.11,CN,1735330656
266,loukhi,66.0764,33.0381,0.99,85,100,5.74,RU,1735330657
267,hovd,48.0056,91.6419,-20.59,78,100,0.34,MN,1735330658
268,andrelandia,-21.7397,-44.3092,19.33,97,100,2.37,BR,1735330659
269,debre sina,9.85,39.7667,8.44,62,1,0.82,ET,1735330661
270,carnarvon,-24.8667,113.6333,26.98,33,3,7.14,AU,1735330662
271,happy valley-goose bay,53.3168,-60.3315,-5.83,73,40,3.09,CA,1735330663
272,guerrero negro,27.9769,-114.0611,18.19,61,83,6.71,MX,1735330664
273,cortland,42.6001,-76.083,2.64,70,99,2.57,US,1735330614
274,okhotsk,59.3833,143.3,-24.22,80,23,7.01,RU,1735330668
275,trinidad,-14.8333,-64.9,31.99,51,20,2.06,BO,1735330669
276,dubbo,-32.25,148.6167,16.07,67,58,2.06,AU,1735330670
277,saint-pierre,-21.3393,55.4781,25.82,57,0,2.06,RE,1735330671
278,acarau,-2.8856,-40.12,28.68,71,1,8.28,BR,1735330672
279,ploneour-lanvern,47.9,-4.2833,4.18,93,100,1.03,FR,1735330673
280,maintirano,-18.0667,44.0167,27.9,76,13,2.38,MG,1735330675
281,ust-nera,64.5667,143.2,-36.63,98,96,1.06,RU,1735330676
282,castellamonte,45.382,7.7121,6.24,57,1,3.14,IT,1735330678
283,new norfolk,-42.7826,147.0587,14.4,79,100,2.1,AU,1735330679
284,hadibu,12.65,54.0333,23.23,74,28,8.09,YE,1735330681
285,kodiak,57.79,-152.4072,0.73,86,100,5.14,US,1735330442
286,timmins,48.4669,-81.3331,1.9,93,100,3.6,CA,1735330599
287,dolores,-36.3132,-57.6792,30.2,20,0,7.68,AR,1735330684
288,firuzabad,28.8438,52.5707,10.14,41,82,1.95,IR,1735330685
289,tarakan,3.3,117.6333,25.2,87,100,5.4,ID,1735330686
290,pandan,14.0453,124.1694,25.64,91,83,4.15,PH,1735330688
291,mccook,40.2019,-100.6257,11.03,43,0,4.63,US,1735330689
292,st. john's,47.5649,-52.7093,2.31,97,100,5.81,CA,1735330616
293,nagqu,31.5,92.0,-9.5,26,8,1.23,CN,1735330691
294,al ghayzah,16.2079,52.176,22.86,64,18,4.11,YE,1735330692
295,alaghsas,17.0187,8.0168,19.7,15,100,6.28,NE,1735330693
296,kingston,17.997,-76.7936,31.53,62,20,4.63,JM,1735330509
297,castillos,-34.1667,-53.8333,21.89,66,28,5.75,UY,1735330696
298,waddan,29.1614,16.139,11.42,68,0,2.34,LY,1735330697
299,svetlyy,54.675,20.1347,8.32,97,100,2.96,RU,1735330698
300,nova vicosa,-17.8919,-39.3719,27.08,75,36,6.02,BR,1735330699
301,zhezqazghan,47.7833,67.7667,-10.85,98,61,3.69,KZ,1735330700
302,makarov,48.6333,142.8,-11.35,81,100,5.98,RU,1735330702
303,guercif,34.2257,-3.3536,10.0,57,24,4.22,MA,1735330703
304,gawler,-34.6,138.7333,17.92,73,42,2.44,AU,1735330704
305,anadyr,64.75,177.4833,-31.72,68,0,4.0,RU,1735330705
306,hilo,19.7297,-155.09,26.16,70,0,3.13,US,1735330706
307,george town,5.4112,100.3354,27.96,83,20,1.54,MY,1735330514
308,luganville,-15.5333,167.1667,25.58,77,100,1.87,VU,1735330710
309,san pedro,14.35,121.0167,25.57,94,75,1.54,PH,1735330711
310,las heras,-46.5419,-68.9359,23.81,16,3,6.14,AR,1735330576
